usuario,permissao
admin,admin
usuario_1,regular
usuario_2,admin
usuario_3,regular
usuario_4,admin
usuario_5,regular
usuario_6,admin
usuario_7,regular
usuario_8,admin
usuario_9,regular
usuario_10,regular
usuario_11,regular
usuario_12,regular
usuario_13,regular
usuario_14,regular
usuario_15,admin
usuario_16,regular
usuario_17,regular
usuario_18,admin
usuario_19,admin
usuario_20,admin
usuario_21,regular
usuario_22,regular
usuario_23,admin
usuario_24,regular
usuario_25,admin
usuario_26,regular
usuario_27,regular
usuario_28,regular
usuario_29,admin
usuario_30,regular
usuario_31,admin
usuario_32,regular
usuario_33,regular
usuario_34,regular
usuario_35,admin
usuario_36,admin
usuario_37,regular
usuario_38,admin
usuario_39,regular
usuario_40,admin
usuario_41,admin
usuario_42,regular
usuario_43,admin
usuario_44,admin
usuario_45,admin
usuario_46,regular
usuario_47,admin
usuario_48,admin
usuario_49,regular
usuario_50,regular
usuario_51,admin
usuario_52,regular
usuario_53,regular
usuario_54,regular
usuario_55,admin
usuario_56,admin
usuario_57,admin
usuario_58,regular
usuario_59,regular
usuario_60,regular
usuario_61,admin
usuario_62,admin
usuario_63,regular
usuario_64,admin
usuario_65,regular
usuario_66,regular
usuario_67,admin
usuario_68,admin
usuario_69,regular
usuario_70,regular
usuario_71,admin
usuario_72,regular
usuario_73,admin
usuario_74,admin
usuario_75,regular
usuario_76,admin
usuario_77,regular
usuario_78,admin
usuario_79,regular
usuario_80,admin
usuario_81,regular
usuario_82,admin
usuario_83,regular
usuario_84,regular
usuario_85,admin
usuario_86,admin
usuario_87,regular
usuario_88,regular
usuario_89,admin
usuario_90,regular
usuario_91,admin
usuario_92,regular
usuario_93,admin
usuario_94,regular
usuario_95,admin
usuario_96,regular
usuario_97,admin
usuario_98,admin
usuario_99,regular
usuario_100,regular
usuario_101,regular
usuario_102,admin
usuario_103,regular
usuario_104,admin
usuario_105,regular
usuario_106,admin
usuario_107,regular
usuario_108,admin
usuario_109,admin
usuario_110,admin
usuario_111,admin
usuario_112,regular
usuario_113,regular
usuario_114,admin
usuario_115,admin
usuario_116,admin
usuario_117,regular
usuario_118,admin
usuario_119,regular
usuario_120,admin
usuario_121,admin
usuario_122,admin
usuario_123,admin
usuario_124,regular
usuario_125,admin
usuario_126,admin
usuario_127,regular
usuario_128,regular
usuario_129,admin
usuario_130,admin
usuario_131,regular
usuario_132,admin
usuario_133,regular
